id,artist,title,album,year,duration_s,format,path
kbsXDWxEoo3R9is1iTFRA7,Michael Sembello,Maniac,Michael Sembello,,242,mp3,Michael Sembello/Michael Sembello/Maniac.mp3
xwTfPyHBpFjQZBbnRUfyGw,Mick Gordon,Cultist Base,Mick Gordon,,331,mp3,Mick Gordon/Mick Gordon/Cultist Base.mp3
KsC5ZNfckQ391OPti4sJL0,Mick Gordon,The Only Thing They Fear is You,Mick Gordon,,305,mp3,Mick Gordon/Mick Gordon/The Only Thing They Fear is You.mp3
SSh4hTg0pWXgV6NCVcdo5h,Mika Kobayashi,Bauklotze (OST Attack on Titan),Mika Kobayashi,2014,236,mp3,Hiroyuki Sawano/Mika Kobayashi/01-12 - Bauklotze (OST Attack on Titan).mp3
7u4ZDtAhtp5WBSpbpUnHLZ,Mike & The Mechanics,Silent running ( long versions),Mike & The Mechanics,2003,373,flac,Mike & The Mechanics/Mike & The Mechanics/04 - Silent running ( long versions).flac
TvnK3rLk4V01R1gXfz5eeR,Miko,Девочка в тренде,Miko,,151,mp3,Miko/Miko/Девочка в тренде.mp3
vcNRwuhwtT08rc8HxJa3UF,Miley Cyrus,Wrecking Ball,Bangerz,2013,221,mp3,Miley Cyrus/Bangerz/06 - Wrecking Ball.mp3
IEhJ0b1gRYuSIfYYBf1j9a,Minelli,Peligrosa,Peligrosa,2023,145,mp3,Minelli/Peligrosa/Peligrosa.mp3
QGYiIRgFaJRv9ftGNeKiXq,Minelli,Rampampam,Rampampam,2021,200,mp3,Minelli/Rampampam/Rampampam.mp3
bRVF5dgNYlBQcaleDC44VO,MIRBRO,Где Прошла Ты (Кравц & Гио Пика),MIRBRO,,168,mp3,MIRBRO/MIRBRO/Где Прошла Ты (Кравц & Гио Пика).mp3
zLAd1wZ6aztUtKQvyslNLc,Mireille Mathieu,Bravo tu as gagné,Mireille Mathieu,,276,mp3,Mireille Mathieu/Mireille Mathieu/27 - Bravo tu as gagné.mp3
Eo28hvQ9PQdAbApHzSWy1I,Miyagi & Andy Panda feat. Mav-d,Marmalade,Miyagi & Andy Panda feat. Mav-d,,220,mp3,Miyagi & Andy Panda/Miyagi & Andy Panda feat. Mav-d/Marmalade.mp3
iMnzkgkrl1CnAGIvAUCVzE,mkr,midnight blue,mkr,,75,mp3,mkr/mkr/midnight blue.mp3
3zF9SOdlppmZPsuzMdKcXJ,Mo Beats,Righteous (SLOW & REVERB),Mo Beats,,180,mp3,Mo Beats/Mo Beats/Righteous (SLOW & REVERB).mp3
tZR0rey7x21ipA0NCggM63,Mo-do,"айнц, цвай, полицай",Mo-do,,215,mp3,"Mo-do/Mo-do/айнц, цвай, полицай.mp3"
